t,x,y,z
0.0,7.3315490546874305,6.492330086527791,1.9103863093441114
6.0,7.661493134852543,6.318768028913381,2.2228270650347506
12.0,7.77382275447006,5.691818384842982,3.4164652427197786
18.0,8.282670036216361,5.742837511815202,4.350871917519215
24.0,8.615744433330637,5.307705004055872,5.492149272028843
30.0,9.081312809429285,5.015092696778651,6.089613279988214
36.0,8.884248223939458,4.443846566639563,7.358137663133851
42.0,9.236104540670965,4.5228215322845795,7.783106505466555
48.0,8.914258648161573,4.624340990211494,8.638306515145821
